userId,movieId,title,rating
1,1371,Rocky III,2.5
1,2105,American Pie,4.0
1,2193,My Tutor,2.0
1,2294,Jay and Silent Bob Strike Back,2.0
2,62,2001: A Space Odyssey,3.0
2,110,Three Colors: Red,4.0
2,144,Wings of Desire,3.0
2,150,48 Hrs.,5.0
2,153,Lost in Translation,4.0
2,161,Ocean's Eleven,3.0
2,165,Back to the Future Part II,3.0
2,168,Star Trek IV: The Voyage Home,3.0
2,185,A Clockwork Orange,3.0
2,186,Lucky Number Slevin,3.0
2,222,Berlin: Symphony of a Great City,5.0
2,223,Rebecca,1.0
2,235,Stand by Me,3.0
2,248,Pocketful of Miracles,3.0
2,253,Live and Let Die,4.0
2,261,Cat on a Hot Tin Roof,4.0
2,266,Contempt,5.0
2,272,Batman Begins,3.0
2,292,Dave Chappelle's Block Party,3.0
2,296,Terminator 3: Rise of the Machines,4.0
2,300,The Science of Sleep,3.0
2,314,Catwoman,4.0
2,319,True Romance,1.0
2,339,Night on Earth,3.0
2,364,Batman Returns,3.0
2,377,A Nightmare on Elm Street,3.0
2,405,La Strada,2.0
2,480,Monsoon Wedding,4.0
2,497,The Green Mile,3.0
2,500,Reservoir Dogs,4.0
2,508,Love Actually,4.0
2,527,Once Were Warriors,4.0
2,551,The Poseidon Adventure,5.0
2,585,"Monsters, Inc.",5.0
2,587,Big Fish,3.0
2,590,The Hours,5.0
2,593,Solaris,3.0
2,616,The Last Samurai,3.0
2,661,The Marriage of Maria Braun,4.0
3,110,Three Colors: Red,4.0
3,267,Live Flesh,3.0
3,296,Terminator 3: Rise of the Machines,4.5
3,318,The Million Dollar Hotel,5.0
3,377,A Nightmare on Elm Street,2.5
3,527,Once Were Warriors,3.0
3,588,Silent Hill,3.0
3,593,Solaris,3.0
3,595,To Kill a Mockingbird,2.0
3,778,Monsieur  Hulot's Holiday,4.0
3,866,Finding Neverland,3.0
3,1271,300,3.0
3,1378,Shortbus,4.0
3,1580,Rope,3.5
3,2841,A Very Long Engagement,4.0
3,2959,License to Wed,5.0
4,112,Italian for Beginners,5.0
4,173,"20,000 Leagues Under the Sea",3.0
4,185,A Clockwork Orange,3.0
4,260,The 39 Steps,5.0
4,289,Casablanca,4.0
4,296,Terminator 3: Rise of the Machines,5.0
4,329,Jurassic Park,3.0
4,364,Batman Returns,5.0
4,380,Rain Man,3.0
4,431,Cube,3.0
4,464,As It Is in Heaven,4.0
4,480,Monsoon Wedding,5.0
4,541,The Man with the Golden Arm,5.0
4,588,Silent Hill,5.0
4,590,The Hours,3.0
4,594,The Terminal,5.0
4,596,The Grapes of Wrath,5.0
4,616,The Last Samurai,5.0
4,858,Sleepless in Seattle,5.0
4,903,Cool Hand Luke,5.0
4,910,The Big Sleep,4.0
4,913,The Thomas Crown Affair,5.0
4,919,Blood: The Last Vampire,5.0
4,1089,Point Break,5.0
4,1125,Dreamgirls,5.0
4,1213,The Talented Mr. Ripley,5.0
4,1257,Because I Said So,5.0
4,1259,Notes on a Scandal,4.0
4,1265,Bridge to Terabithia,5.0
4,1278,The Dreamers,5.0
4,1282,Dogtown and Z-Boys,5.0
4,1372,Blood Diamond,3.0
4,1374,Rocky IV,4.0
4,1376,Sweet Sixteen,3.0
4,1377,Houseboat,3.0
4,1387,Superstar: The Karen Carpenter Story,5.0
4,1396,Mirror,5.0
4,1580,Rope,5.0
4,1954,The Butterfly Effect,5.0
4,1961,My Name Is Bruce,5.0
4,1968,Fools Rush In,5.0
4,2000,Aguirre: The Wrath of God,5.0
4,2005,Sister Act,5.0
4,2018,The Wedding Planner,5.0
4,2020,The Bachelor,4.0
4,2021,Jack & Sarah,4.0
4,2034,Training Day,4.0
4,2046,The Gift,5.0
4,2054,Mr. Holland's Opus,3.0
4,2064,While You Were Sleeping,5.0
4,2080,X-Men Origins: Wolverine,5.0
4,2086,Nick of Time,5.0
4,2087,The Getaway,5.0
4,2100,The Last Castle,5.0
4,2105,American Pie,4.0
4,2110,Wasabi,3.0
4,2114,Final Fantasy: The Spirits Within,5.0
4,2124,Color of Night,4.0
4,2140,Kiss of the Dragon,5.0
4,2144,One Night at McCool's,5.0
4,2193,My Tutor,3.0
4,2289,Cold Mountain,5.0
4,2454,The Chronicles of Narnia: Prince Caspian,5.0
4,2616,Uncle Buck,1.0
4,2640,Heathers,5.0
4,2770,American Pie 2,1.0
4,3034,Young Frankenstein,5.0
4,3040,Night Watch,5.0
5,104,Run Lola Run,4.0
5,150,48 Hrs.,4.0
5,231,Syriana,3.5
5,277,Underworld,4.5
5,364,Batman Returns,4.0
5,377,A Nightmare on Elm Street,4.0
5,440,Aliens vs Predator: Requiem,4.0
5,500,Reservoir Dogs,4.5
5,588,Silent Hill,3.5
5,595,To Kill a Mockingbird,4.0
5,597,Titanic,5.0
5,788,Mrs. Doubtfire,3.5
5,903,Cool Hand Luke,3.5
5,919,Blood: The Last Vampire,4.0
5,1247,The Good Shepherd,4.0
5,1485,Get Carter,4.5
5,1682,Mothra vs. Godzilla,4.0
5,1777,Fahrenheit 9/11,4.0
5,1923,Twin Peaks: Fire Walk with Me,4.5
5,1961,My Name Is Bruce,4.0
5,1968,Fools Rush In,4.0
5,2023,Hidalgo,1.5
5,2294,Jay and Silent Bob Strike Back,4.0
5,2355,Reign Over Me,3.5
5,2502,The Bourne Supremacy,3.5
5,3114,The Searchers,3.5
5,3176,Battle Royale,3.5
5,4995,Boogie Nights,4.5
5,5816,Waiter,3.0
5,30707,Star 80,4.5
5,48385,Indestructible Man,4.5
6,158,Knockin' on Heaven's Door,2.0
6,173,"20,000 Leagues Under the Sea",2.0
6,293,A River Runs Through It,5.0
6,596,The Grapes of Wrath,4.0
6,903,Cool Hand Luke,4.0
6,1250,Ghost Rider,4.5
6,1259,Notes on a Scandal,4.5
6,1358,A Brief History of Time,2.0
6,1639,Speed 2: Cruise Control,2.0
6,1687,Escape from the Planet of the Apes,2.0
6,1909,Don Juan DeMarco,3.0
6,2657,Pleasantville,2.0
6,3114,The Searchers,4.0
6,8874,My Best Friend's Wedding,4.5
7,104,Run Lola Run,3.0
7,110,Three Colors: Red,5.0
7,112,Italian for Beginners,4.0
7,141,Donnie Darko,4.0
7,198,To Be or Not to Be,2.0
7,260,The 39 Steps,5.0
7,272,Batman Begins,3.0
7,316,Grill Point,2.0
7,318,The Million Dollar Hotel,5.0
7,329,Jurassic Park,3.0
7,345,Eyes Wide Shut,3.0
7,364,Batman Returns,3.0
7,377,A Nightmare on Elm Street,3.0
7,380,Rain Man,4.0
7,480,Monsoon Wedding,4.0
7,500,Reservoir Dogs,3.0
7,534,Terminator Salvation,4.0
7,539,Psycho,3.0
7,541,The Man with the Golden Arm,4.0
7,551,The Poseidon Adventure,4.0
7,590,The Hours,4.0
7,592,The Conversation,3.0
7,594,The Terminal,4.0
7,595,To Kill a Mockingbird,3.0
7,671,Harry Potter and the Philosopher's Stone,4.0
7,708,The Living Daylights,3.0
7,745,The Sixth Sense,5.0
7,924,Dawn of the Dead,4.0
7,1073,Arlington Road,3.0
7,1125,Dreamgirls,3.0
7,1278,The Dreamers,3.0
7,1372,Blood Diamond,3.0
7,1374,Rocky IV,4.0
7,1375,Rocky V,3.0
7,1376,Sweet Sixteen,3.0
7,1394,Nostalgia,3.0
7,1405,Greed,5.0
7,1408,Cutthroat Island,1.0
8,296,Terminator 3: Rise of the Machines,4.0
8,318,The Million Dollar Hotel,5.0
8,524,Casino,2.0
8,527,Once Were Warriors,5.0
8,593,Solaris,4.5
8,628,Interview with the Vampire,4.0
8,805,Rosemary's Baby,3.5
8,1259,Notes on a Scandal,4.0
8,1265,Bridge to Terabithia,3.0
8,1358,A Brief History of Time,0.5
8,1387,Superstar: The Karen Carpenter Story,4.0
8,1552,Parenthood,3.0
8,1777,Fahrenheit 9/11,5.0
8,2028,Say Anything...,4.0
8,2302,Avalon,4.5
8,2770,American Pie 2,2.5
8,2841,A Very Long Engagement,3.0
8,2959,License to Wed,4.0
8,4011,Beetlejuice,4.5
8,4226,Shriek If You Know What I Did Last Friday the Thirteenth,5.0
8,4973,Under the Sand,4.0
8,4995,Boogie Nights,3.5
8,8874,My Best Friend's Wedding,3.0
9,26,Walk on Water,3.0
9,318,The Million Dollar Hotel,4.0
9,527,Once Were Warriors,5.0
9,534,Terminator Salvation,5.0
9,593,Solaris,4.0
9,608,Men in Black II,5.0
9,1059,The Hidden Fortress,5.0
9,1358,A Brief History of Time,4.0
9,1411,The Rapture,3.0
9,1541,Thelma & Louise,2.0
9,1584,School of Rock,4.0
9,1680,King Kong vs. Godzilla,4.0
9,1682,Mothra vs. Godzilla,5.0
9,2028,Say Anything...,4.0
9,2268,The Golden Compass,3.0
9,2291,Jacob's Ladder,4.0
9,2294,Jay and Silent Bob Strike Back,2.0
9,2302,Avalon,4.0
9,2501,The Bourne Identity,4.0
9,2539,Spanglish,2.0
10,152,Star Trek: The Motion Picture,4.0
10,318,The Million Dollar Hotel,4.0
10,592,The Conversation,3.0
10,1089,Point Break,3.0
10,1358,A Brief History of Time,5.0
